match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,0.1,Paarl Royals,MI Cape Town,JJ Roy,JC Buttler,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,0.2,Paarl Royals,MI Cape Town,JJ Roy,JC Buttler,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,0.3,Paarl Royals,MI Cape Town,JJ Roy,JC Buttler,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,0.4,Paarl Royals,MI Cape Town,JJ Roy,JC Buttler,GF Linde,1,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,0.5,Paarl Royals,MI Cape Town,JC Buttler,JJ Roy,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,0.6,Paarl Royals,MI Cape Town,JC Buttler,JJ Roy,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,1.1,Paarl Royals,MI Cape Town,JJ Roy,JC Buttler,K Rabada,1,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,1.2,Paarl Royals,MI Cape Town,JC Buttler,JJ Roy,K Rabada,0,1,1.0,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,1.3,Paarl Royals,MI Cape Town,JC Buttler,JJ Roy,K Rabada,1,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,1.4,Paarl Royals,MI Cape Town,JJ Roy,JC Buttler,K Rabada,1,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,1.5,Paarl Royals,MI Cape Town,JC Buttler,JJ Roy,K Rabada,3,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,1.6,Paarl Royals,MI Cape Town,JJ Roy,JC Buttler,K Rabada,1,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,1.7,Paarl Royals,MI Cape Town,JC Buttler,JJ Roy,K Rabada,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,2.1,Paarl Royals,MI Cape Town,JJ Roy,JC Buttler,GF Linde,0,0,,,,,,caught,JJ Roy,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,2.2,Paarl Royals,MI Cape Town,WJ Lubbe,JC Buttler,GF Linde,0,0,,,,,,bowled,WJ Lubbe,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,2.3,Paarl Royals,MI Cape Town,DJ Vilas,JC Buttler,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,2.4,Paarl Royals,MI Cape Town,DJ Vilas,JC Buttler,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,2.5,Paarl Royals,MI Cape Town,DJ Vilas,JC Buttler,GF Linde,1,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,2.6,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,3.1,Paarl Royals,MI Cape Town,DJ Vilas,JC Buttler,JC Archer,0,1,,,,1.0,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,3.2,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,JC Archer,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,3.3,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,JC Archer,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,3.4,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,JC Archer,4,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,3.5,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,JC Archer,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,3.6,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,JC Archer,4,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,4.1,Paarl Royals,MI Cape Town,DJ Vilas,JC Buttler,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,4.2,Paarl Royals,MI Cape Town,DJ Vilas,JC Buttler,GF Linde,0,5,5.0,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,4.3,Paarl Royals,MI Cape Town,DJ Vilas,JC Buttler,GF Linde,1,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,4.4,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,4.5,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,4.6,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,GF Linde,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,4.7,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,GF Linde,1,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,5.1,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,K Rabada,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,5.2,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,K Rabada,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,5.3,Paarl Royals,MI Cape Town,JC Buttler,DJ Vilas,K Rabada,1,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,5.4,Paarl Royals,MI Cape Town,DJ Vilas,JC Buttler,K Rabada,0,0,,,,,,,,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,5.5,Paarl Royals,MI Cape Town,DJ Vilas,JC Buttler,K Rabada,0,0,,,,,,bowled,DJ Vilas,,
1343956,2022/23,21-01-2023,"Boland Park, Paarl",2,5.6,Paarl Royals,MI Cape Town,M Van Buuren,JC Buttler,K Rabada,0,0,,,,,,,,,
