match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,0.1,MI Cape Town,Joburg Super Kings,HE van der Dussen,WB Marshall,KI Simmonds,1,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,0.2,MI Cape Town,Joburg Super Kings,WB Marshall,HE van der Dussen,KI Simmonds,0,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,0.3,MI Cape Town,Joburg Super Kings,WB Marshall,HE van der Dussen,KI Simmonds,1,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,0.4,MI Cape Town,Joburg Super Kings,HE van der Dussen,WB Marshall,KI Simmonds,4,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,0.5,MI Cape Town,Joburg Super Kings,HE van der Dussen,WB Marshall,KI Simmonds,1,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,0.6,MI Cape Town,Joburg Super Kings,WB Marshall,HE van der Dussen,KI Simmonds,1,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,1.1,MI Cape Town,Joburg Super Kings,WB Marshall,HE van der Dussen,LB Williams,0,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,1.2,MI Cape Town,Joburg Super Kings,WB Marshall,HE van der Dussen,LB Williams,0,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,1.3,MI Cape Town,Joburg Super Kings,WB Marshall,HE van der Dussen,LB Williams,1,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,1.4,MI Cape Town,Joburg Super Kings,HE van der Dussen,WB Marshall,LB Williams,2,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,1.5,MI Cape Town,Joburg Super Kings,HE van der Dussen,WB Marshall,LB Williams,0,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,1.6,MI Cape Town,Joburg Super Kings,HE van der Dussen,WB Marshall,LB Williams,1,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,2.1,MI Cape Town,Joburg Super Kings,HE van der Dussen,WB Marshall,M Theekshana,1,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,2.2,MI Cape Town,Joburg Super Kings,WB Marshall,HE van der Dussen,M Theekshana,1,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,2.3,MI Cape Town,Joburg Super Kings,HE van der Dussen,WB Marshall,M Theekshana,1,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,2.4,MI Cape Town,Joburg Super Kings,WB Marshall,HE van der Dussen,M Theekshana,0,0,,,,,,lbw,WB Marshall,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,2.5,MI Cape Town,Joburg Super Kings,G Roelofsen,HE van der Dussen,M Theekshana,0,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,2.6,MI Cape Town,Joburg Super Kings,G Roelofsen,HE van der Dussen,M Theekshana,0,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,3.1,MI Cape Town,Joburg Super Kings,HE van der Dussen,G Roelofsen,LB Williams,1,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,3.2,MI Cape Town,Joburg Super Kings,G Roelofsen,HE van der Dussen,LB Williams,0,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,3.3,MI Cape Town,Joburg Super Kings,G Roelofsen,HE van der Dussen,LB Williams,0,0,,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,3.4,MI Cape Town,Joburg Super Kings,G Roelofsen,HE van der Dussen,LB Williams,0,1,1.0,,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,3.5,MI Cape Town,Joburg Super Kings,G Roelofsen,HE van der Dussen,LB Williams,0,1,,1.0,,,,,,,
1343969,2022/23,2023-02-06,"The Wanderers Stadium, Johannesburg",2,3.6,MI Cape Town,Joburg Super Kings,G Roelofsen,HE van der Dussen,LB Williams,2,0,,,,,,,,,
