match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,0.1,Durban's Super Giants,MI Cape Town,Q de Kock,MP Breetzke,BE Hendricks,0,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,0.2,Durban's Super Giants,MI Cape Town,Q de Kock,MP Breetzke,BE Hendricks,1,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,0.3,Durban's Super Giants,MI Cape Town,MP Breetzke,Q de Kock,BE Hendricks,0,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,0.4,Durban's Super Giants,MI Cape Town,MP Breetzke,Q de Kock,BE Hendricks,0,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,0.5,Durban's Super Giants,MI Cape Town,MP Breetzke,Q de Kock,BE Hendricks,2,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,0.6,Durban's Super Giants,MI Cape Town,MP Breetzke,Q de Kock,BE Hendricks,0,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,1.1,Durban's Super Giants,MI Cape Town,Q de Kock,MP Breetzke,K Rabada,0,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,1.2,Durban's Super Giants,MI Cape Town,Q de Kock,MP Breetzke,K Rabada,4,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,1.3,Durban's Super Giants,MI Cape Town,Q de Kock,MP Breetzke,K Rabada,0,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,1.4,Durban's Super Giants,MI Cape Town,Q de Kock,MP Breetzke,K Rabada,0,0,,,,,,caught,Q de Kock,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,1.5,Durban's Super Giants,MI Cape Town,PWA Mulder,MP Breetzke,K Rabada,1,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,1.6,Durban's Super Giants,MI Cape Town,MP Breetzke,PWA Mulder,K Rabada,0,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,2.1,Durban's Super Giants,MI Cape Town,PWA Mulder,MP Breetzke,BE Hendricks,4,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,2.2,Durban's Super Giants,MI Cape Town,PWA Mulder,MP Breetzke,BE Hendricks,0,0,,,,,,bowled,PWA Mulder,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,2.3,Durban's Super Giants,MI Cape Town,KMA Paul,MP Breetzke,BE Hendricks,0,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,2.4,Durban's Super Giants,MI Cape Town,KMA Paul,MP Breetzke,BE Hendricks,0,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,2.5,Durban's Super Giants,MI Cape Town,KMA Paul,MP Breetzke,BE Hendricks,4,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,2.6,Durban's Super Giants,MI Cape Town,KMA Paul,MP Breetzke,BE Hendricks,2,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,3.1,Durban's Super Giants,MI Cape Town,MP Breetzke,KMA Paul,SM Curran,0,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,3.2,Durban's Super Giants,MI Cape Town,MP Breetzke,KMA Paul,SM Curran,1,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,3.3,Durban's Super Giants,MI Cape Town,KMA Paul,MP Breetzke,SM Curran,1,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,3.4,Durban's Super Giants,MI Cape Town,MP Breetzke,KMA Paul,SM Curran,0,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,3.5,Durban's Super Giants,MI Cape Town,MP Breetzke,KMA Paul,SM Curran,4,0,,,,,,,,,
1392653,2023/24,2024-01-11,"Kingsmead, Durban",2,3.6,Durban's Super Giants,MI Cape Town,MP Breetzke,KMA Paul,SM Curran,4,0,,,,,,,,,
