match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,0.1,Pretoria Capitals,Sunrisers Eastern Cape,PD Salt,WG Jacks,DJ Worrall,0,0,,,,,,,,,
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,0.2,Pretoria Capitals,Sunrisers Eastern Cape,PD Salt,WG Jacks,DJ Worrall,6,0,,,,,,,,,
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,0.3,Pretoria Capitals,Sunrisers Eastern Cape,PD Salt,WG Jacks,DJ Worrall,2,0,,,,,,,,,
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,0.4,Pretoria Capitals,Sunrisers Eastern Cape,PD Salt,WG Jacks,DJ Worrall,6,0,,,,,,,,,
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,0.5,Pretoria Capitals,Sunrisers Eastern Cape,PD Salt,WG Jacks,DJ Worrall,0,0,,,,,,,,,
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,0.6,Pretoria Capitals,Sunrisers Eastern Cape,PD Salt,WG Jacks,DJ Worrall,0,0,,,,,,,,,
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,1.1,Pretoria Capitals,Sunrisers Eastern Cape,WG Jacks,PD Salt,M Jansen,0,0,,,,,,,,,
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,1.2,Pretoria Capitals,Sunrisers Eastern Cape,WG Jacks,PD Salt,M Jansen,0,0,,,,,,caught,WG Jacks,,
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,1.3,Pretoria Capitals,Sunrisers Eastern Cape,K Verreynne,PD Salt,M Jansen,3,0,,,,,,,,,
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,1.4,Pretoria Capitals,Sunrisers Eastern Cape,PD Salt,K Verreynne,M Jansen,4,0,,,,,,,,,
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,1.5,Pretoria Capitals,Sunrisers Eastern Cape,PD Salt,K Verreynne,M Jansen,0,5,5.0,,,,,,,,
1392669,2023/24,2024-01-25,"SuperSport Park, Centurion",1,1.6,Pretoria Capitals,Sunrisers Eastern Cape,PD Salt,K Verreynne,M Jansen,2,0,,,,,,,,,
