match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,0.1,Durban's Super Giants,Paarl Royals,Q de Kock,BA King,BC Fortuin,0,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,0.2,Durban's Super Giants,Paarl Royals,Q de Kock,BA King,BC Fortuin,0,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,0.3,Durban's Super Giants,Paarl Royals,Q de Kock,BA King,BC Fortuin,0,0,,,,,,bowled,Q de Kock,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,0.4,Durban's Super Giants,Paarl Royals,B Parsons,BA King,BC Fortuin,1,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,0.5,Durban's Super Giants,Paarl Royals,BA King,B Parsons,BC Fortuin,0,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,0.6,Durban's Super Giants,Paarl Royals,BA King,B Parsons,BC Fortuin,1,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,1.1,Durban's Super Giants,Paarl Royals,BA King,B Parsons,KT Maphaka,0,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,1.2,Durban's Super Giants,Paarl Royals,BA King,B Parsons,KT Maphaka,2,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,1.3,Durban's Super Giants,Paarl Royals,BA King,B Parsons,KT Maphaka,0,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,1.4,Durban's Super Giants,Paarl Royals,BA King,B Parsons,KT Maphaka,0,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,1.5,Durban's Super Giants,Paarl Royals,BA King,B Parsons,KT Maphaka,0,0,,,,,,bowled,BA King,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,1.6,Durban's Super Giants,Paarl Royals,KS Williamson,B Parsons,KT Maphaka,0,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,2.1,Durban's Super Giants,Paarl Royals,B Parsons,KS Williamson,BC Fortuin,0,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,2.2,Durban's Super Giants,Paarl Royals,B Parsons,KS Williamson,BC Fortuin,1,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,2.3,Durban's Super Giants,Paarl Royals,KS Williamson,B Parsons,BC Fortuin,0,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,2.4,Durban's Super Giants,Paarl Royals,KS Williamson,B Parsons,BC Fortuin,1,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,2.5,Durban's Super Giants,Paarl Royals,B Parsons,KS Williamson,BC Fortuin,1,0,,,,,,,,,
1449656,2024/25,2025-01-27,"Boland Park, Paarl",1,2.6,Durban's Super Giants,Paarl Royals,KS Williamson,B Parsons,BC Fortuin,1,0,,,,,,,,,
